Дата операции;Дата обработки;Название операции;Сумма операции в валюте карты;Комиссия в валюте карты;Сумма операции в валюте операции;Валюта операции;Категория;Место операции
05.07.2024 20:52;08.07.2024;Покупка RUS s. Schastlivo IP Ziyadinova E. E.;-536.00;0.00;-536.00;RUR;Супермаркеты;
05.07.2024 20:56;08.07.2024;Покупка RUS c. Schastlivo IP Mustafaeva L.T.;-579.00;0.00;-579.00;RUR;Супермаркеты;
06.07.2024 07:00;08.07.2024;Покупка RUS Moscow YANDEX*5815*PLUS;-699.00;0.00;-699.00;RUR;Другое;
06.07.2024 11:11;08.07.2024;Покупка RUS s. Tankovoe IP Govorkov A. A.;-240.00;0.00;-240.00;RUR;Супермаркеты;
06.07.2024 11:36;08.07.2024;Выдача наличных RUS BAHCHISARAY TSO-5908;-400.00;0.00;-400.00;RUR;Наличные;
06.07.2024 15:27;08.07.2024;Покупка RUS SEVASTOPOL BEERLION;-3043.80;0.00;-3043.80;RUR;Супермаркеты;
06.07.2024 15:28;08.07.2024;Покупка RUS SEVASTOPOL BEERLION;-384.00;0.00;-384.00;RUR;Супермаркеты;
06.07.2024 15:29;06.07.2024;Покупка RUS Sevastopol KANCTOVARY 5;35.00;0.00;35.00;RUR;;
06.07.2024 15:31;08.07.2024;Покупка RUS SEVASTOPOL PRODUKTY;-330.00;0.00;-330.00;RUR;Супермаркеты;
07.07.2024 12:17;08.07.2024;Покупка RUS SEVASTOPOL MAGAZIN BEERLION;-1307.60;0.00;-1307.60;RUR;Супермаркеты;
07.07.2024 13:08;07.07.2024;Покупка RUS Sevastopol Magazin;2034.80;0.00;2034.80;RUR;;
07.07.2024 13:11;07.07.2024;Покупка RUS Sevastopol Magazin;418.00;0.00;418.00;RUR;;
07.07.2024 13:12;07.07.2024;Покупка RUS Sevastopol MAGAZIN;192.00;0.00;192.00;RUR;;
