Дата операции;Дата обработки;Название операции;Сумма операции в валюте карты;Комиссия в валюте карты;Сумма операции в валюте операции;Валюта операции;Категория;Место операции
05.06.2024 14:21;05.06.2024;Списание перевода СБП;-2500.00;0.00;-2500.00;RUR;Другое;
05.06.2024 18:57;06.06.2024;Покупка RUS GOLUBINKA MAGAZIN MIASNAIA DOLI;-1280.00;0.00;-1280.00;RUR;Супермаркеты;
05.06.2024 19:01;06.06.2024;Покупка RUS GOLUBINKA MAGAZIN SUPERMARKET;-459.00;0.00;-459.00;RUR;Супермаркеты;
05.06.2024 19:04;06.06.2024;Покупка RUS GOLUBINKA FRUKTY-OVOSHCHI;-678.00;0.00;-678.00;RUR;Супермаркеты;
05.06.2024 19:12;06.06.2024;Покупка RUS s. Golubinka Magazin Koidesh;-776.00;0.00;-776.00;RUR;Супермаркеты;
05.06.2024 19:20;06.06.2024;Покупка RUS GOLUBINKA MAGAZIN "EDAVODA";-1474.87;0.00;-1474.87;RUR;Супермаркеты;
06.06.2024 07:00;06.06.2024;Покупка RUS Moscow YANDEX*5815*PLUS;-699.00;0.00;-699.00;RUR;Другое;
06.06.2024 09:34;06.06.2024;Списание перевода СБП;-2200.00;0.00;-2200.00;RUR;Другое;
06.06.2024 13:29;06.06.2024;Customer to Business;-5570.00;0.00;-5570.00;RUR;Другое;
06.06.2024 19:20;07.06.2024;Покупка RUS GOLUBINKA MAGAZIN "EDAVODA";-1601.89;0.00;-1601.89;RUR;Супермаркеты;
07.06.2024 19:40;10.06.2024;Покупка RUS Golubinka Bakaleia;-566.00;0.00;-566.00;RUR;Супермаркеты;
07.06.2024 19:45;10.06.2024;Покупка RUS GOLUBINKA MAGAZIN "EDAVODA";-870.94;0.00;-870.94;RUR;Супермаркеты;
07.06.2024 19:48;10.06.2024;Покупка RUS s. Golubinka Magazin Koidesh;-240.00;0.00;-240.00;RUR;Супермаркеты;
07.06.2024 19:50;10.06.2024;Покупка RUS s. Golubinka Magazin Koidesh;-42.00;0.00;-42.00;RUR;Супермаркеты;
07.06.2024 20:28;10.06.2024;Покупка RUS c. Schastlivo IP Mustafaeva L.T.;-420.00;0.00;-420.00;RUR;Супермаркеты;
08.06.2024 08:46;10.06.2024;Перевод денежных средств по картам Банка RUS GOLUBINKA ATM-8870;-500.00;0.00;-500.00;RUR;Транспорт;
08.06.2024 08:49;10.06.2024;Покупка RUS s. Golubinka AZS "ATAN 62";-348.00;0.00;-348.00;RUR;Топливо;
08.06.2024 08:52;10.06.2024;Покупка RUS s. Golubinka AZS "ATAN 62";-2949.71;0.00;-2949.71;RUR;Топливо;
08.06.2024 10:23;10.06.2024;Покупка RUS g. Sevastopol Sklad OOO "Energiia";-1130.00;0.00;-1130.00;RUR;Сервис-услуги;
08.06.2024 11:29;10.06.2024;Покупка RUS SEVASTOPOL OSTRYAKOVA 213A;-753.00;0.00;-753.00;RUR;Супермаркеты;
08.06.2024 11:30;10.06.2024;Покупка RUS SEVASTOPOL OSTRYAKOVA 213A;-545.00;0.00;-545.00;RUR;Супермаркеты;
08.06.2024 12:45;10.06.2024;Покупка RUS s. Golubinka Magazin Koidesh;-656.00;0.00;-656.00;RUR;Супермаркеты;
08.06.2024 12:48;10.06.2024;Покупка RUS s. Golubinka Minimarket;-1820.00;0.00;-1820.00;RUR;Супермаркеты;
08.06.2024 12:49;10.06.2024;Покупка RUS Golubinka Bakaleia;-316.00;0.00;-316.00;RUR;Супермаркеты;
08.06.2024 12:53;10.06.2024;Покупка RUS GOLUBINKA MAGAZIN "EDAVODA";-353.95;0.00;-353.95;RUR;Супермаркеты;
08.06.2024 12:57;10.06.2024;Покупка RUS GOLUBINKA FRUKTY-OVOSHCHI;-260.00;0.00;-260.00;RUR;Супермаркеты;
