Date;Payee;Memo;Outflow
10.07.2024;;Покупка RUS s. Schastlivo IP Ziyadinova E. E.;-1416.00
11.07.2024;;Покупка RUS BAKHCHISARAI OOO KEDR 62;-149.00
11.07.2024;;Покупка RUS BAKHCHISARAI OOO KEDR 62;-3450.12
11.07.2024;;Покупка RUS s. Sokolinoe Kafe "Elken";-1170.00
11.07.2024;;Покупка RUS Sankt-Peterbu Investmint.ru;-1999.00
11.07.2024;;Покупка RUS s. Sokolinoe Kafe "Elken";-300.00
11.07.2024;;Покупка RUS s. Golubinka Minimarket;-1450.00
11.07.2024;;Покупка RUS Golubinka Minimarket;-202.00
11.07.2024;;Покупка RUS Golubinka Bakaleia;-350.00
11.07.2024;;Покупка RUS s. Schastlivo IP Ziyadinova E. E.;-150.00
11.07.2024;;Перевод денежных средств по картам Банка Transfer;-1000.00
11.07.2024;;Оплата услуг Публичное акционерное общество "Мобильные ТелеСистемы";-1000.00
12.07.2024;;Покупка RUS GOLUBINKA MAGAZIN;-2000.00
11.07.2024;;Покупка RUS s. Schastlivo IP Ziyadinova E. E.;2661.00
11.07.2024;;Списание по переводу Л-О МАКСИМ В;-35000.00
12.07.2024;;Оплата услуг Счёт по сбору платежей за ЖКУ в г.Севастополь;-2660.00
12.07.2024;;Покупка RUS Sevastopol Magazin;586.64
12.07.2024;;Выплата по программе лояльности Выплаты по программе лояльности;1114.41
12.07.2024;;Выдача наличных RUS SEVASTOPOL ATM-5165;-3100.00
12.07.2024;;Покупка RUS g. Sevastopol IP Eshchenko A. A.;601.91
12.07.2024;;Покупка RUS SEVASTOPOL MAGAZIN MIASO I MIASOP;240.80
12.07.2024;;Покупка RUS SEVASTOPOL MAGAZIN MIASO I MIASOP;156.94
